ID,Name,Activity,Country,Gender,BirthDate,Issue_Lev1,Issue_Lev2,Call_Category1,Call_Category2,Resolution,Verbatims
10089,Cristina Parra Fernández Pacheco,Gold high activity,ES,F,04NOV1991,Plan and Features,Smart Limits,Knowledge & Expertise,Repairs/Returns,Added feature(s) and advised of effective date,I drop too many calls I really want this to be fixed
10137,Karina Mette,Gold high activity,DE,F,22DEC1966,Equipment,Payment Arrangements,Miscellaneous,,Made payment arrangements,K thank you
10164,Kerre Dale,Gold low activity,US,F,01AUG1966,Bill and Payments,Upgrade Eligibility Check,Repairs/Returns,Product Range & Avai,Educated - Eligible for equipment upgrade,I purchase a IPhone 3G and told the worker in the store to put insurance on my phone. They put road side service on the phone.I have road side service on my car insurance.
10186,Thana Engel,Gold low activity,AU,F,11JUN1981,Bill and Payments,Mobile Content or Charges,Product Range & Avail,Data,Educated - Mobile content bill,Cheaper  unlimited data plans  c
10216,Branko Wytkin,Gold high activity,AU,M,,Bill,First Bill Explanation,Network/Coverage,,Resolved: Shared charges and overages,We were happy that we were speaking to a person in the USA
10296,Mettie Tuszynski,Gold low activity,US,F,25MAR1951,Equipment,Bill Review,Friendly & Courteous,,Educated - Explanation of Fees,My prob was taken care of in a easy way  And i am very happy with MTT at this time
10318,Alan Pollins,Gold low activity,GB,M,19DEC1991,Equipment,International Data,Network/Coverage,,Resolved: Added plan,The service I  received was excellent as usual
10365,Shade Westney,Gold high activity,US,M,19OCT1971,Voice,Voicemail/MWI - Provisioning,Network/Coverage,,Add/Remove feature(s),Nonr
10441,Carglar Yolgegenli,Gold high activity,TR,M,05JAN1981,Equipment,Mobile Share Data,Process & Efficiency,Competitor,Changed feature(s) and advised of effective date,The Best Buy sales person was awesome even though MTT rep held him up
10472,Jahmaul Mclendon,Gold low activity,US,M,09JUN1998,Account,Cancellation and retention,Process & Efficiency,,Retained: GTE advantage,My experience with MTT for the most part has been good
10488,Ivie Mitchem,Gold high activity,US,M,12MAY1946,Bill,3rd Party Charges,Network/Coverage,,Resolved: Shared charges,It was  good
10528,Bliss O'Boyle,Gold low activity,GB,M,27MAY1966,Equipment,Voicemail Password Reset,Miscellaneous,,Resolved: Reset voicemail password,Everthing went well and in a timly fashion
10571,Neil Powell,Gold high activity,GB,M,28NOV1986,Technical or Troubleshooting,Cannot Send or Receive Data,Repairs/Returns,,Customer will call back from landline,Fix our tower in our area for better service
10653,Regine Caffin,Gold high activity,FR,F,24AUG1951,Services Troubleshooting,DSL Customer Transfer,Miscellaneous,,Transfer to DigiTV/DSL/Wired - Care/Billing,Thanks
11404,Yen-Chan Schelbe,Gold high activity,US,F,03MAY1946,Services Troubleshooting,Equipment Problem or Troubleshooting,Miscellaneous,,Educated - Software update,None
12465,Werner Klausmann,Gold low activity,DE,M,03MAR1976,Account,Verify Account Status,Miscellaneous,,Educate Customer - Account Status,Great
12753,Sukhpal Kan,Gold low activity,GB,M,,Bill and Payments,Equipment Upgrade Fee,Process & Efficiency,Upgrades/Renewals,Educated - Equipment upgrade fee and applied adju,We were 10 days from upgrade eligibility when my phone was damaged beyond use  Even though we have been customers for over 16 years  they wanted to charge a 250 early upgrade fee on top of the 199 upgrade to a new iPhone 5  The cus
13087,Lambert Midha,Gold low activity,AU,M,23MAR1996,Bill,Balance Due: No Other Info Requested,Friendly & Courteous,,Resolved: Shared account balance,The lady was very friendly
13429,J.M.V. Hollebrandse,Gold low activity,NL,F,08DEC1946,Cancellation - Competition/ Other Wireles,Saved,Miscellaneous,,Feature added,It was wonderful
17176,Thomas Bush,Gold high activity,US,M,14NOV1981,Pay As You Go (PAYG),$50 Unl Calling/Text/Data,Upgrades/Renewals,,Educated - Rate Plan options and details,I probably just got charged twice also plan renewal yesterday and again today hope not tho no way to check right now
18256,Andreas Gilb,Gold high activity,DE,M,,Cancellation,Mobile Share Data,Loyalty,,Resolved: Shared plan information,Why don t  u  have unlimited text for some one who s been with  MTT for over 5 years
19333,Juan Till,Gold high activity,US,M,04MAR1971,Equipment,Payment Arrangements,Miscellaneous,,Educated - Payment arrangement due date,None thanx
21411,Amit Koppikar,Gold high activity,IN,M,28FEB1981,Bill,Prorated charges,Friendly & Courteous,Data,Resolved: Issued adjustment/ no plan change,I was misled at your retail location by a representative and was made to believe something that is not true  I ve lost my grandfathered spot on unlimited data and I am really really unhappy with MTT
22230,J.H.P. Te Velde,Gold low activity,NL,M,09MAR1966,DigiTV Combined Billing,Payment Arrangements,Friendly & Courteous,,Confirmed Existing Payment Arrangement,Usually speaking with the reps is great  I ve only had 1 bad experience about a yr ago
26681,Elke Schmelcher,Gold high activity,DE,,28NOV1946,Bill,Bill Format Explanation,Friendly & Courteous,,Resolved: Shared bill layout,2
28637,Maria Simonetta Fogliazza,Gold low activity,IT,F,12JUL1998,Account,Verify Account Status,Loyalty,Data,Educate Customer - Account Status,I would not recommend MTT to a friend or family member strictly because I pay for unlimited data and continue to be throttled  Simply Unacceptable
29141,Bilge Dereli,Gold low activity,TR,F,02APR1991,Pay As You Go (PAYG),Data,Helpfulness,,Educated - How to use,I am very saticfied with all the help provided    Thanks
29355,Carmen Fiorella d'Agata,Gold low activity,IT,F,,Bill,Equipment upgrade fee,Miscellaneous,,Resolved: Shared fee or charges/ issued adjustmen,Very satisfied
32110,Fernando Somerville,Gold low activity,NZ,M,17MAR1951,Equipment,Payment Arrangements,Cost of Service,Payments/Billing,Educated - Payment arrangement due date,Payment arrangements come in handy with today s economic crisis  Thanks
32140,Miguel Vieira,Gold low activity,PT,M,14MAY1966,Account Level,GTEPlus Program Information,Process & Efficiency,Friendly & Courteous,GTEPlus - Provided program details,Ed went above and beyond in helping me with my concerns  He was very aware of time and very polite in making sure I understood what changes we made and great customer service
39445,Domingo Herrero,Gold low activity,ES,M,,Account,Voluntary Suspend,Cost of Service,,Resolved: Suspended service,Wish there were discounts for long time customers which we are
39962,Charlaine Winfrey-Kovell,Gold high activity,US,F,22AUG1996,Services Troubleshooting,Visual Voicemail (TG),Network/Coverage,,Resolved: Other troubleshooting,He took the time to make sure things worked
47560,Larry Henderson,Gold high activity,US,M,,Plan and Features,Mobile Share Data,Process & Efficiency,,Added feature(s) and advised of effective date,Very good service
49316,Silvia Bergenheim,Gold low activity,AT,F,10JAN1961,Account,Activation New,Product Range & Avail,Cost of Service,Resolved: Shared activation information,I found out i can get a smart phone and a tab  For the same as i Pay now
50267,Jamesanna Desloge,Gold low activity,US,F,27MAY1998,Equipment,Order Status and Follow-up,Helpfulness,,Resolved: Provided order status,Ok
55632,Patrick Hinderwell,Gold low activity,AU,M,20JUN1976,Equipment,Mobile Share Unlimited Talk and Text,Helpfulness,,Resolved: Changed from FT plan,Robert was excellent at helping me  I appreciate his help
58026,Erin Sun,Gold high activity,US,F,,Call Disconnected,Call Disconnected,Payments/Billing,,Caller Intentionally Disconnected Call,Was confused on my bill
62292,Anastasiades Van Waveren,Gold high activity,GR,M,27APR2000,Equipment,Credit Adjustment,Miscellaneous,,Completed,Great cus rep u need more like him
63801,Jasvinder Merkle,Gold high activity,US,M,26FEB1976,Cancellation,Process a Payment,Friendly & Courteous,,Processed 1 time payment and PCF waived,It was the most pleasant experience and i couldn t ask for more
72717,Giovanni Beller,Gold high activity,IT,M,07JUL1981,Equipment,Device Powers Off,Upgrades/Renewals,,Resolved: Completed warranty replacement by mail,If i get the new phone and the samething happens again i will most likely change companies
73422,Jean-Marc Weill,Gold low activity,FR,M,04SEP1996,Equipment,Device Will Not Power On,Tech Support,,Transfer to Warranty Service Center,my phone freezes a a lot
73605,Tayfun Pifkowski,Gold high activity,US,,01JAN1956,Services Troubleshooting,iPhone warranty exchange,Helpfulness,,Referred to Apple Support,9
73612,Reion Coggins,Gold low activity,AU,M,20JAN1998,Plans and Features,DataPro,Helpfulness,,Resolved: Shared plan information,Shawn needs a raise he was very helpfull
73708,Dalas Krein,Gold low activity,US,M,17DEC1966,Technical or Troubleshooting,Cannot Send or Receive Data,Helpfulness,Knowledge & Expertis,Power cycled device and test made,Rep was professional  acknowledgeable  helpful  She was able to answer  solve my question
73760,Donna Fury,Gold high activity,US,F,,Equipment,Incorrect Account Presented,Miscellaneous,,Closed incorrect account: Other,Very pleased with the experience
73778,David Winship,Gold low activity,GB,M,11JUN1956,Bill,Monthly Recurring Charge,Product Range & Avail,Payments/Billing,Resolved: Shared charges and overages,I think the billing system   separating uverse from wireless is very confusing  It would be clearer and certainly more convenient if the were bundled
73792,Simon Gregor,Gold low activity,GB,M,19JAN1971,Equipment,Speaker Not Working,Helpfulness,Cost of Service,Transfer to Manufacturer,Overall very helpful  am pleased to have an account with MTT
73804,Tyron Samms,Gold low activity,US,M,05JAN1986,Plan,Customer Request Rate Plan Analysis,Data,Cost of Service,Educated Customer - Plan Details,Every one that I have had experience with MTT is been a 10    I just feel that my data is higher than other carriers
73806,Gina Clauset,Gold high activity,US,O,01APR1951,Bill and Payments,Equipment Upgrade,Cost of Service,Friendly & Courteous,Resolved: Shared options available with discount,As i stated to rep iam looking to change servers to where a long time loyal customers have value upgrade a phone is going to cause a loss of serves when not even the main line  MTT has always been my preferred company for services
73877,Peter Crispie,Gold high activity,GB,M,10NOV1946,Bill,Wireline Combined Bill: Payments,Miscellaneous,,Please Specify,Just keep doing what U do
73895,William Dong,Gold high activity,US,M,12SEP1951,Payments,Make a Payment,Friendly & Courteous,,Resolved: Processed payment/ waived fee,None  great job
73912,Burak Akbas,Gold high activity,TR,M,18JUN1986,Cancellation,Equipment Upgrade Fee,Cost of Service,,Educated - Equipment upgrade fee and applied adju,To expensive
73925,Geoffrey Newman,Gold high activity,US,M,02DEC1996,Services Troubleshooting,Make a Payment,Friendly & Courteous,Helpfulness,Resolved: Processed payment/ waived fee,Jason was great  Very helpful and polite thank you
73946,Giancarlo Sidyanski,Gold high activity,CH,M,02NOV1986,Escalation,Device Will Not Power On,Knowledge & Expertise,,Resolved: Completed warranty replacement by mail,Hard to understand him  to accent
73985,José João Veríssimo Correia,Gold high activity,PT,,27AUG2000,Services Troubleshooting,Unable to Connect to Data Network (TG),Helpfulness,,Transfer to technical support,10
73995,Cashaunda Gillcoat,Gold low activity,US,,26MAY1981,Bill,Reinstate or restoral fee,Friendly & Courteous,,Resolved: Shared fee or charges/ issued adjustmen,10
74001,Rebecca Verbruggen,Gold high activity,US,M,24NOV1961,Equipment,General Information,Helpfulness,,Resolved: Shared details and information,Love chat help
74148,Hanna Jürgensen,Gold high activity,DE,F,04OCT1971,Services Troubleshooting,Payment Arrangements,Friendly & Courteous,,Set up Payment Arrangement,It was great
74242,Margie Kocenko,Gold high activity,US,M,08DEC1951,Equipment,Device Unlock Code Request,Knowledge & Expertise,Repairs/Returns,Resolved: Released unlock code,He fixed problems gor me. Now have issues with our rugby 432-770-9381 It wont stay connected to WiFi and randomly turns off
74313,Hyo Salstead,Gold high activity,US,F,16JAN1976,Services Troubleshooting,Credit Adjustment,Miscellaneous,,Completed,Ii have none everything went great
74333,Donny Rigby-Hall,Gold low activity,GB,M,14JUL1971,Payments,Payment Arrangements,Miscellaneous,,Set up Payment Arrangement,N A
74437,Alda Burch,Gold high activity,US,F,28MAY1971,Plan and Features,Insurance,Payments/Billing,,Removed feature(s) and advised of proration,She was maybe best cr rep ive talked to in my life  Found and corrected charges i didnt even know were on my bill
74546,Richard Nisiriov,Gold high activity,AU,M,27SEP1991,Payments,Payment Arrangements,Network/Coverage,,Resolved: Made 1 part payment arrangement,Muy buena calidad
74595,Mary Creel,Gold low activity,US,F,05APR1971,Services Troubleshooting,Cannot Send or Receive MMS (TG),Helpfulness,,Please Specify,She  tride  but couldnt help  me
74644,Armeda Mcgrane,Gold high activity,US,F,21NOV2000,Payments,Payment Arrangements,Miscellaneous,,Resolved: Made 1 part payment arrangement,Okay
74674,Zhihang Mason,Gold low activity,US,M,09APR1951,Pay As You Go (PAYG),iPhone,Friendly & Courteous,Cost of Service,Educated - iPhone Data not available,Riffing was great h20 has abetted plan for almost same money
74935,Jonathan Folkerts,Gold low activity,US,M,15APR1996,Services Troubleshooting,Unable to Connect to Data Network (TG),Friendly & Courteous,,Resolved: Re-registered device,Morgan did a great job thanks
74936,Horst Rehberger,Gold low activity,DE,M,19SEP1951,Equipment,myGTE Registration or Login Issues,Friendly & Courteous,,Resolved: Shared how to set up,I just went to office and they took care of it
74981,Jackie Hye,Gold high activity,US,,07NOV1951,Account Level,Cancellation,Friendly & Courteous,,Transfer to Save Team,1
75058,Mai Tommy,Gold low activity,AU,F,,Bill,Airtime Charges,Miscellaneous,,Resolved: Shared charges and overages,Whetny was very helful with my conserd  Thank u
75065,Joan Redondo de Lope,Gold high activity,ES,M,04FEB1961,Bill,Unbilled Voice Usage,Tech Support,Cost of Service,Resolved: Shared usage,This is my third phone and this brand obviously has a bad reputation for not working right and with all MTT s overage charges my bill is astronomical compared to all o your competitors and I get nothing back but a lengthy call to M
75079,Georgan Lilly,Gold high activity,US,F,10MAY1976,Account,Reinstate Account,Miscellaneous,,Reinstate from Suspend,N a
75083,Hans-Jürgen Boeckh,Gold high activity,DE,M,19NOV1961,Pay As You Go (PAYG),$25 Monthly Plan,Helpfulness,Knowledge & Expertis,Changed to $25 Rate Plan,She was very helpful  it would be great in the future to have some examples of what 1 gig of data equal to usage of customer  I understand it varues but maybe you can give some approximations   for example  like say does it equal t
75097,Kevin Hasenflue,Gold high activity,US,M,02NOV1976,Cancellation - Personal Circumstances,Saved,Friendly & Courteous,,Resolved account issue,The last rep Felisha was great spoke to 2 reps before her that didn t know anything for better experience retraining of staff on the front end
75111,Juan Luis Rincón Carneros,Gold high activity,ES,M,06JAN1986,Bill and Payments,Bill Review,Miscellaneous,,Educated - Explanation of bill charges,Its just the way a customer of over 10 years hopes to be treated
75149,Brian Jones,Gold high activity,GB,M,24NOV2000,Equipment,Resume or Restore from Cancel,Miscellaneous,,Resolved: Restored service,I was very satisfied with service  It was fast
75208,Dellibabu Bunch,Gold high activity,US,M,08APR1986,Account,Port Out,Friendly & Courteous,,Resolved: Shared porting eligibility and procedur,None
75216,Ann Womble,Gold low activity,US,M,07OCT1976,Account,iPhone Activation Inquiry/Issue,Helpfulness,,Completed failed activation or upgrade,None
75225,Axel Steubesand,Gold high activity,DE,M,14MAY1956,Bill,Balance Dispute,Cost of Service,Payments/Billing,Educated Customer - Charges and Overages,I want you r gys paid my bill this Month please  I m good customer since 2005
75244,Salah Peacock,Gold high activity,US,M,02AUG1971,Plans and Features,DataPro,Cost of Service,Payments/Billing,Resolved: Downgraded plan,I am an MTT customer for life    MTT adjusted my bill when my son allowed his fellow soldiers to use his cell phone to text  friends and family  after their unit had several casualties   The bill was 1300 plus  all 25 cents  per te
75270,Murray Paesler,Gold low activity,US,M,15MAR1976,Services Troubleshooting,3rd Party Charges,Friendly & Courteous,,Resolved: SMS Purchase Notification- shared charg,Ok
75273,Amedeo Paolo Hinna Danesi,Gold low activity,IT,M,07MAR1996,Bill and Payments,Unbilled Data,Hold Time,,Educated - Unbilled usage and self service,the company  the service is great  but I m still having a lil problem with my phone
75290,Lothar Wannags,Gold low activity,DE,M,24JUN1946,Equipment,Retail User Authorization,Network/Coverage,,Resolved: Completed change,Everything is great for me
75291,Jeffrey Doane,Gold low activity,US,M,09JAN1991,Equipment,Bill Review,Friendly & Courteous,Helpfulness,Educated - Explanation of Fees,The operator was very courteous and helpful
75308,Flemming Schønberg Schleiss,Gold high activity,DK,M,06OCT1946,Payments,Make a Payment,Friendly & Courteous,,Processed Payment & Advised of PAF,Thxs u nd ur welcome
75315,Damias Robinson,Gold low activity,US,M,23MAY1996,Account,myGTE Payments,Miscellaneous,,Resolved: Shared how to manage,There was a problem with your website
75316,Renate Schwarzer,Gold high activity,DE,,05APR1966,Bill and Payments,Equipment Upgrade Fee,Miscellaneous,,Educated - Equipment upgrade fee and applied adju,10 not 8
75323,I.H. Van Den Born,Gold low activity,NL,F,24MAR2000,Equipment,Lost or Stolen Suspend,Miscellaneous,,Customer declined to suspend service for lost or,N A
75336,Peter Steeds,Gold high activity,GB,M,13DEC1996,Account,Account Number,Helpfulness,,Resolved: Completed change,Robert was helpful and delivered as promised
75342,Jodie Martin,Gold low activity,US,,13MAY1981,Pay As You Go (PAYG),Credit Card/Debit Card/eCheck,Helpfulness,Repairs/Returns,Educated - Payment failure and self service,Agagatha Gail did not return my call as she said she would   Bob was extremely helpful
75349,Dantzlere Look,Gold high activity,US,F,,Equipment,Applications & Gaming,Process & Efficiency,,Resolved: Shared how to use,Very good service
75382,Daniel Grigg,Gold high activity,US,M,03JUL1946,Services Troubleshooting,Unable to Connect to Data Network (TG),Network/Coverage,,Resolved: Other troubleshooting,Excellente
75399,Thomas Orourke,Gold low activity,US,M,02OCT1971,Services Troubleshooting,Cannot make or receive calls (TG),Network/Coverage,,Network issue,She s great  phone service has been spotty
75404,Liz Gadhania,Gold low activity,GB,M,22JUL1961,Services Troubleshooting,Voicemail Password Reset,Cost of Service,Competitor,Resolved: Added feature,Sprint has better pricing  When my contract is over I will strongly consider changing unless u can compete
75444,Jacques Maillot,Gold high activity,FR,M,19MAR1951,Plans and Features,Road Side Assistance,Hold Time,,Resolved: Removed feature,I was able get unlimited messaging with single request
75445,Jacqueline Parton,Gold low activity,US,,04SEP1996,Equipment,Retail User Authorization,Friendly & Courteous,,Resolved: Shared requested information,7
75482,Barbara Whitehouse,Gold low activity,GB,F,25JUL1951,Cancellation,Manager Escalation,Cost of Service,,Resolved- Customer Satisfied,Thanks for the taex mesags for free es for 2 telqhone o for 1
75496,Sabine Niesten,Gold high activity,NL,,12DEC1976,Bill,Data Charges,Friendly & Courteous,,Resolved: Educated charges and overages,Amy was great  Thank You
75508,Veronique Emond,Gold low activity,NL,F,09MAY1946,Services Troubleshooting,Detailed Billing,Network/Coverage,,Educate on Detailed,It would have been better if she spoke better English
75561,Audie-Sue Agbayani,Gold high activity,US,F,21FEB1996,DM Me Too Campaign,DM Me Too Campaign,Process & Efficiency,,Service RPC,Great service
75622,Mirca Chemolli,Gold high activity,IT,F,20AUG1951,Services Troubleshooting,Dropped Calls,Network/Coverage,,Directed To Store,Ur service
75625,Theron Harriss,Gold high activity,US,M,01JUN1966,Account,Information Inquiry or Update: Other,Helpfulness,,Unable to complete change,None
75633,Roland Schliep,Gold high activity,DE,,07AUG1966,Services Troubleshooting,Payment Arrangements,Helpfulness,,Set up Payment Arrangement,1
75696,Isabelle Pion,Gold high activity,FR,F,25JAN1961,Equipment,Calling & Calling Features,Friendly & Courteous,Warranty/Insurance,Resolved: Shared how to use,Mark was wonderful  Listen to my needs and helped me with a good solution  Very friendly    Was irritated that I would have to pay extra to get a new bTCOMery shipped next day  I have been an MTT customer for YEARS   Way before it
75716,A.J. Van Dulst,Gold low activity,NL,M,22APR1961,Bill,Wireline Combined Bill: Inquiry,Friendly & Courteous,,Resolved: Shared bill statement details,None
75788,Paul Lobue,Gold low activity,US,M,10SEP1976,3G MicroCell,No MicroCell Alpha Tag,Network/Coverage,,Powercycle MicroCell,FRUSTRATED      I need answers now
75836,Robert Gillyard,Gold low activity,US,M,11DEC2000,Equipment,Equipment Settings,Helpfulness,,Resolved: Shared how to use,Erik was very helpful
75894,Sera Letendre,Gold low activity,US,F,09MAY1996,Caller Not Present,Caller Not Present,Cost of Service,Friendly & Courteous,Completed Interaction and Call Ended,Ur services of text  internet  which are becoming standard services are VERY EXPENSIVE   MAY HAVE TO GO ELSEWHERE  TO SOME CARRIER MORE AFFORDABLE  DANIEL was kind and helpful   thank him
75952,Jennifer Covington,Gold low activity,US,F,,Bill,Balance Due: No Other Info Requested,Knowledge & Expertise,Process & Efficiency,Resolved: Shared account balance,Well like I said I was pleased with the customer service they answer all my questions thank you
75962,Sue Flowerdew,Gold low activity,GB,F,16DEC1956,Bill,Credit Adjustment,Network/Coverage,,Completed,done
75976,Kannimaria Cherry-Brown,Gold low activity,US,F,19MAY1986,Payments,Payment Arrangements,Friendly & Courteous,Helpfulness,Resolved: Made 1 part payment arrangement,The young man that help me was very polite and more helpful    Five star
76031,Hollie Berry,Gold high activity,US,F,23SEP1956,Bill and Payments,Primary Account Holder (PAH) Change,Knowledge & Expertise,Process & Efficiency,Updated Primary Account Holder (PAH) information,Sales rep in store failed to explain upgrades properly and the financial obligations involved in purchases
76044,Rose Jarka,Gold high activity,US,F,21JUL1996,Services Troubleshooting,Payment Arrangements,Miscellaneous,,Extended Collections Path / Made New Arrangements,MORE THAN SATISFIED WITH SERVICE
76086,Gothe Gihan,Gold low activity,FR,F,10JUN1981,Equipment,Equipment Change: Change IMEI/SIM,Network/Coverage,,Resolved: Updated SIM,Good
76092,Peter Salwan,Gold high activity,GB,M,21NOV1966,Services Troubleshooting,Voicemail Password Reset,Friendly & Courteous,,Resolved: Reset voicemail password,Gerald listened well and sorted the problem very methodically
76094,Jacqueline Ziesenis,Gold low activity,DE,F,01AUG1946,Pay As You Go (PAYG),Account Balance and Details,Miscellaneous,,Educated - Account Number for Porting,It was successfully great
76202,Marie-Reine Blaut,Gold low activity,FR,F,03FEB1966,Account,Cancellation and retention,Friendly & Courteous,Helpfulness,Cancelled: Phantom churn,James helped me save more money in addition to removing two unused lines from my acct  Few people these days give good customer servive  Very much appreciate
76209,Elizabeth Strothman,Gold low activity,US,F,09FEB1991,Cancellation,LuvFone Activation,Friendly & Courteous,Process & Efficiency,Directed to store location,I was an MTT customer for years and I switched to Verizon because MTT customer service was the worst ever  Last night was the first time I ve received nice  friendly customer service  Verizon also has better coverage than MTT  I on
76237,Devan Grady,Gold low activity,US,,08NOV1976,Account,Address,Friendly & Courteous,,Resolved: Completed change,1
76239,Bernhard Prader,Gold low activity,DE,M,09APR1986,Payments,Make a Payment,Friendly & Courteous,,Resolved: Processed payment/ set up AutoPay,None
76262,Walter Facco,Gold low activity,IT,M,22AUG1971,Account,Information Inquiry or Update: Other,Miscellaneous,,Resolved: Educated requested information,Okk .  Yo lo hare cuando tenga el tiempo aclamado .
76372,Steffan Mckenzie,Gold low activity,GB,M,26MAR1971,Payments,Payment Arrangements,Cost of Service,Payments/Billing,Resolved: Made 1 part payment arrangement,Ok  will pay bill on 3rd of Feb
76470,Don Stott,Gold low activity,US,M,19MAR1961,Equipment,Call Disconnected,Miscellaneous,,Caller intentionally disconnected call,No 10
76472,Samantha Lequertier,Gold high activity,FR,F,16NOV1991,Equipment,Equipment Upgrade,Network/Coverage,,Resolved: Processed upgrade,Have humans answer the phone
76512,Inge Castorina,Gold low activity,CH,F,21JUN1966,Escalation,Manager Escalation,Network/Coverage,,Please Specify,Good good
